City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
233,Rioja,AR,-29.4111,-66.8507,83.5,20,0,6.6,clear sky
234,Korgen,NO,66.0771,13.8153,12.99,85,0,2.3,clear sky
235,Zhangye,CN,38.9342,100.4517,20.41,71,0,5.06,clear sky
236,Huarmey,PE,-10.0681,-78.1522,76.39,66,24,13.18,few clouds
237,Chuy,UY,-33.6971,-53.4616,74.62,62,82,10.69,broken clouds
238,Goderich,CA,43.7501,-81.7165,33.8,86,100,9.22,light snow
239,Clyde River,CA,70.4692,-68.5914,6.8,92,90,26.46,snow
240,Boyolangu,ID,-8.1181,111.8935,75.51,86,100,3.83,overcast clouds
241,Mansa,IN,29.9833,75.3833,48.85,57,0,7.18,clear sky
242,Moju,BR,-1.8839,-48.7689,86.0,70,75,8.05,light rain
243,Hohhot,CN,40.8106,111.6522,3.2,66,0,6.71,clear sky
244,Sept-Iles,CA,50.2001,-66.3821,30.99,93,100,10.36,snow
245,Soure,BR,-0.7167,-48.5233,83.84,72,41,11.5,light rain
246,Villahermosa,MX,17.9833,-92.9167,71.6,83,90,8.05,overcast clouds
247,Cayenne,GF,4.9333,-52.3333,86.0,66,75,13.8,broken clouds
248,Burnie,AU,-41.0667,145.9167,58.35,84,92,13.49,overcast clouds
249,Martapura,ID,-3.4167,114.85,73.4,100,75,2.3,light rain
250,Nizhniy Kuranakh,RU,58.8353,125.4869,-46.37,73,31,1.99,scattered clouds
251,Necochea,AR,-38.5473,-58.7368,66.0,76,84,25.97,broken clouds
252,Kapit,MY,2.0167,112.9333,71.17,94,100,0.16,light rain
253,Pringsewu,ID,-5.3582,104.9744,73.87,91,95,1.28,overcast clouds
254,Anadyr,RU,64.75,177.4833,-11.0,77,20,6.71,light snow
255,Quelimane,MZ,-17.8786,36.8883,81.73,84,98,5.66,light rain
256,Jasper,US,37.2001,-94.3502,42.01,60,75,13.8,broken clouds
257,Jiaojiang,CN,28.6803,121.4428,37.0,72,0,3.06,clear sky
258,Bukachacha,RU,52.9833,116.9167,-22.99,80,0,3.22,clear sky
259,Atagay,RU,55.1033,99.3875,11.05,94,100,5.91,overcast clouds
260,Prince Rupert,CA,54.3161,-130.3201,44.6,93,90,9.22,light rain
